,translation,,object
use:medicines:skinSubcutaneousCellularTissueDisorders,Skin Subcutaneous Cellular Tissue Disorders,used to treat %s,Skin Subcutaneous Cellular Tissue Disorders
use:medicines:unspecifiedMedicinalDisorders,Unspecified Medicinal Disorders,used to treat %s,Unspecified Medicinal Disorders
use:poisons,Poisons,used as %s,a poison
use:poisons:animalDiseaseControl,Animal Disease Control,used to control %s,animal diseases
use:poisons:animalPestControl,Animal Pest Control,used to control %s,animal pests
use:poisons:anthelmintic,Anthelmintic,used as an %s agent %s,Anthelmintic
use:poisons:antibacterial,Antibacterial,used as %s agent,Antibacterial
use:poisons:antiprotozoal,Antiprotozoal,used as %s agent,Antiprotozoal 
use:poisons:antiviral,Antiviral,used as %s agent,Antiviral
use:poisons:fishing,Fishing,used as a poison for %s,fishing
use:poisons:fishPoison,Fish Poison,used as a poison for %s,fish
use:poisons:homicide,Homicide,used as a poison for %s,homicide
use:poisons:hunting,Hunting,used as a poison for %s,hunting
use:poisons:infanticide,Infanticide,used as a poison %s,a poison
use:poisons:insecticidal,Insecticidal,used as an %s,insecticide
use:poisons:mammalianPoison,Mammalian Poison,used as a poison for %s,mammals
use:poisons:otherPoisonType,Other Poison Type,used as %s,a poison
use:poisons:otherUsesOfPoisons,Other Uses Of Poisons,used as %s,a poison
use:poisons:plantDiseaseControl,Plant Disease Control,used to control %s,plant diseases
use:poisons:plantPestControl,Plant Pest Control,used to control %s,plant pest
use:poisons:poisonousPropertyNotActivelyUsed,Poisonous Property Not Actively Used,used as %s,a poison
use:poisons:reptilePoison,Reptile Poison,used to poison %s,reptiles
use:poisons:suicide,Suicide,used as %s,a poison
use:poisons:unspecifiedPoisonType,Unspecified Poison Type,used as %s,a poison
use:socialUse,Social,has  %s uses,Social
use:socialUse:adulterants,Adulterants,used as  %s,An Adulterant
use:socialUse:hallucinogens,Hallucinogens,used as  %s,a Hallucinogen
use:socialUse:masticatories,Masticatories,used as  %s,a Masticatory
use:socialUse:ornamentals,Ornamentals,has  %s uses,Ornamental
use:socialUse:otherSocialUses,Other Social Uses,has  %s uses,social
use:socialUse:sacredSpiritualPlants,Sacred Spiritual Plants,used as  %s,a sacred spiritual plant
use:socialUse:sedatives,Sedatives,used as  %s,a sedative
use:socialUse:smokingMaterials,Smoking Materials,used for %s,smoking
use:socialUse:snuff,Snuff,used as %s,snuff
use:socialUse:stimulants,Stimulants,used as %s,a stimulant
use:socialUse:unspecifiedSocialUses,Unspecified Social Uses,has  %s uses,social
use:weedImpact,Weed Impact,is %s,a weed
use:weedImpact:agriculturalWeed,Agricultural Weed,is %s,an agricultural weed
use:weedImpact:rangelAndPastureWeed,Rangel And Pasture Weed,is %s,a pasture and rangel weed
use:weedImpact:unspecifiedWeed,Unspecified Weed,is %s,a weed
