urn:lsid:ipni.org:names:30007860-2	urn:kew.org:sanbi:LSP:tab1fam:ref:74	Prance & White: 1 (1988).	Prance & White	1988
urn:lsid:ipni.org:names:30000758-2	urn:kew.org:sanbi:LSP:tab1fam:ref:76	Killick & Robson: 14 (1976).	Killick & Robson	1976
urn:lsid:ipni.org:names:77126653-1	urn:kew.org:sanbi:LSP:tab1fam:ref:78	Rodman: 45 (1990).	Rodman	1990
urn:lsid:ipni.org:names:77126634-1	urn:kew.org:sanbi:LSP:tab1fam:ref:80	Breteler: 1 (1989).	Breteler	1989
urn:lsid:ipni.org:names:30000547-2	urn:kew.org:sanbi:LSP:tab1fam:ref:82	Meeuse & Welman: 1 (2000).	Meeuse & Welman	2000
urn:lsid:ipni.org:names:30002899-2	urn:kew.org:sanbi:LSP:tab1fam:ref:84	Cannon: 635 (1978).	Cannon	1978
urn:lsid:ipni.org:names:30000887-2	urn:kew.org:sanbi:LSP:tab1fam:ref:86	Tölken: 1 (1985).	Tölken	1985
urn:lsid:ipni.org:names:30000781-2	urn:kew.org:sanbi:LSP:tab1fam:ref:88	Jeffrey: 414 (1978).	Jeffrey	1978
urn:lsid:ipni.org:names:77126639-1	urn:kew.org:sanbi:LSP:tab1fam:ref:90	Engler: 229 (1928) as Cunoniaceae.	Engler	1928
urn:lsid:ipni.org:names:77126618-1	urn:kew.org:sanbi:LSP:tab1fam:ref:92	Breteler: 1 (1986).	Breteler	1986
urn:lsid:ipni.org:names:30011177-2	urn:kew.org:sanbi:LSP:tab1fam:ref:94	Cannon & Cannon: 77 (1983).	Cannon & Cannon	1983
urn:lsid:ipni.org:names:77126644-1	urn:kew.org:sanbi:LSP:tab1fam:ref:96	Mabberley: 242 (1997).	Mabberley	1997
urn:lsid:ipni.org:names:77126676-1	urn:kew.org:sanbi:LSP:tab1fam:ref:98	White: 248 (1983).	White	1983
